Month,Year,Madrid,Barcelona,Malaga,Sevilla,Zaragoza,Valencia.1,Bilbao
1,2000.0,5.426129032258068,9.34483870967742,10.954366640440584,10.545790715971656,6.917623918174661,10.540865460267497,8.237498033044842
2,2000.0,7.115194132873173,9.798274374460748,11.60050905953406,12.083399482312334,8.324495254529767,11.253994823123378,8.515332182916294
3,2000.0,10.446003147128256,11.51830841856805,13.269181746656162,14.859173878835552,11.618575924468912,13.371620771046407,10.140015735641226
4,2000.0,12.82421951219514,13.334894308943106,14.78457723577236,16.815341463414658,14.011934959349597,15.580308943089438,11.380292682926834
5,2000.0,16.985255704169965,16.502682926829255,17.575452399685304,20.4325413060582,18.122210857592435,18.87357199055859,14.00552321007081
6,2000.0,22.63622764227643,20.354577235772375,21.190699186991843,24.840593495934943,22.7028455284553,22.849796747967506,16.704853658536596
7,2000.0,26.235389457120355,23.306254917387886,23.796396538158934,27.552958300550735,25.465861526357205,25.543564122738008,18.748040912667165
8,2000.0,25.669771833202237,23.79735641227379,24.135837922895398,27.499339103068476,25.066632572777365,25.784626278520847,19.300739575137705
9,2000.0,21.18052032520324,21.26635772357725,21.599414634146342,24.54978861788614,21.134951219512192,23.038154471544715,17.71535772357727
10,1999.5,15.222475806451623,17.818379032258058,18.142217741935475,19.83475,16.18016129032258,19.11170161290325,15.074830645161288
11,1999.5,9.477324999999995,13.238191666666667,14.218041666666672,14.561166666666669,10.518783333333332,14.385524999999985,11.234250000000005
12,1999.5,6.155935483870962,10.313556451612907,12.009532258064512,11.59002419354841,7.345887096774196,11.40506451612903,9.044790322580651
